"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"337","First-Line Supervisors of Non-Retail Sales Workers",3.5,4,3.62,3.75,3.88,1,1,1,3.38,4,3.38,3,2.75,4,3.12,4,3.5,1.38,1.62,2.38,3.75,1.5,2,3.88,1,1.12,3.38,3.88,4,3.12,3.25,1.62,3.88,1,3.62,"Importance"
"338","First-Line Supervisors of Office and Administrative Support Workers",3.75,4,3.38,4,3.88,1,1,1,3.75,3.75,3.62,2.5,2.75,3.75,2.75,4,3.62,1.12,2.25,2.38,3.62,1.88,2.88,4,1,1,3.62,4,4,3,3.12,1.5,3.75,2,3.75,"Importance"
"339","First-Line Supervisors of Personal Service Workers",3,3.88,3.38,3.62,3.88,1,1,1,3.38,3.38,3,2,2.25,3.75,2.12,3.25,3.12,1.5,2.38,1.75,3.5,1.38,2.75,3.5,1,1.5,3.5,3.75,3.75,3,3,1.62,3.62,1.88,3.12,"Importance"
"340","First-Line Supervisors of Police and Detectives",3.62,4.38,3.62,4,4,1.12,1,1,3.5,3.75,3.75,2.5,2.62,4,2.5,4,3.38,2.5,2.62,2.75,3.5,1.62,2.25,3.88,1,2.12,3.25,3.75,4.12,3.38,3.25,1.62,3.88,1.75,3.75,"Importance"
"341","First-Line Supervisors of Production and Operating Workers",3.12,4,3.25,3.88,3.88,2.25,2.25,1.25,3.12,3.75,3.12,2.38,2.38,3.88,2.12,3.62,3.12,2.5,3.12,3,3.25,1.12,3.12,3.88,2.25,1.75,2.88,3.5,4,2.88,3,1.88,3.88,2.38,3.25,"Importance"
"342","First-Line Supervisors of Retail Sales Workers",2.88,3.62,3.12,3.5,3.5,1,1,1,3.12,3.12,2.88,2.75,2.75,3.38,3,3.5,3.12,2,2.25,2.5,3.12,1.62,2.5,3,1,1.12,3.5,3.38,3.5,3,2.75,1.5,3.25,1.75,3,"Importance"
"343","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators",3.12,4,3.62,4,3.88,2,1.38,1,3,3.62,3,2.12,2.62,4,2.5,3.75,3.38,2.25,2.38,2.88,3.12,1.38,2.25,3.75,2,1.25,3,3.75,3.88,2.88,3.12,1.38,4,2,3.25,"Importance"
"344","Fish and Game Wardens",3,3.88,3.38,3.25,3.88,2,1.88,1,3,3.5,2.88,1.62,1.62,2.5,2.62,3.38,2.88,2.88,3,2.38,3.38,1.5,2.5,3.62,2,2.75,3.12,3.38,3.75,3.12,3,1.75,3,2.25,3.12,"Importance"
"345","Fishers and Related Fishing Workers",2.75,3,2.88,2.88,3,2.88,2.5,1.25,2.75,3,2.38,1.62,1.62,2.75,1.75,2.75,2.62,3.12,3,1.62,2.25,1,2.62,2.5,2.88,1.62,2.38,2.75,3.12,1.5,2,1,2.75,2.75,2.38,"Importance"
"346","Fitness and Wellness Coordinators",3.38,3.75,3.25,3.88,3.88,1.38,1.75,1,3.25,3.38,3.25,2.75,2.75,3.62,2.38,3.38,3.12,1.5,2,1.62,3.38,1.75,2.25,3.75,1.12,1.62,3.5,3.88,3.88,3,2.88,2,3.12,1.88,3.5,"Importance"
"347","Fitness Trainers and Aerobics Instructors",2.88,3.25,2.75,3.12,3,1.88,1.75,1,4,3,2.88,1.12,1.75,2.75,1.62,3.25,1.88,1.75,2,2.75,2.88,1,2.12,2.88,1.12,1.75,3.75,3.38,3.38,2.12,2.25,1.88,3,2,2.88,"Importance"
"348","Flight Attendants",3,3.75,2.88,3.62,3.38,1,1,1,2.62,3,2.5,1.5,1.88,2.5,2.12,3.62,2.62,1.75,2.5,1.75,2.88,1.38,2.25,3,1,1.5,3.88,3.88,4,2,2,1.5,2.88,1.88,2.62,"Importance"
"349","Floor Layers, Except Carpet, Wood, and Hard Tiles",2.75,3.12,2.75,2.88,2.88,1,1.62,1,2.38,2.88,2.12,1.12,1.25,2.38,2.12,2.88,2.5,2.38,2.25,1.88,2.38,1,2,2.38,1,1.25,2.38,2.88,3.12,1.75,1.75,1.25,2.88,1.62,2.38,"Importance"
"350","Floor Sanders and Finishers",2.5,3.12,2.75,2.75,2.62,2.12,1.88,1,2.25,2.62,2,1.38,1.38,2,1.75,2.75,1.88,3,2.75,1.25,2,1,2.5,2.62,2,1.25,2.5,2.38,2.75,1.62,1.62,1.38,2.62,2.25,2,"Importance"
"351","Floral Designers",3,4,2.75,2.88,3.25,1,1.62,1,2.25,3.12,2.25,2,2.75,2.12,2.25,3,2.38,1.38,1.25,3,2.88,1.38,2,2.88,1,1.25,3.38,3.38,3.88,2,2,1.5,3.25,1,2.5,"Importance"
"352","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2.5,3.12,3,3,3.38,2.38,2.38,1.5,2.62,3,2.5,1,1.12,2.38,1.38,3.5,2.38,3.12,3.62,2,2.5,1,3.38,3.12,2.38,1.88,2.5,2.88,3,2,1.88,1.25,2.75,2.38,2.88,"Importance"
"353","Food Batchmakers",2.5,3,2.88,3,3.12,2.12,1.75,1,2.38,2.62,2.25,1,1.38,2.12,2.5,3.25,2.25,3.25,3.12,2,2.12,1.25,2.62,3.12,1.75,1.88,2.38,2.88,3,1.75,1.88,1.38,2.75,2.38,3,"Importance"
"354","Food Cooking Machine Operators and Tenders",2.62,3,2.75,3,2.88,2,1.88,1,2,2.88,2.12,1.38,1.75,2,2,3.25,1.88,3.38,3.75,1.62,1.88,1.38,3,3.12,1.88,1.75,2.12,2.75,3.12,1.88,1.88,1.75,2.62,2,3,"Importance"
"355","Food Preparation Workers",1.75,3.12,2.12,2.75,2.62,1,1.38,1,2.12,2.5,2,1.12,1.12,1.75,2,3,1.88,1.5,1.88,1.12,2,1,2.38,2.38,1,1,2.62,2.5,2.88,1.62,1.62,1.12,2.75,1.75,2,"Importance"
"356","Food Science Technicians",3,3.62,3.12,3,3.25,2.25,2.12,1,2.88,3,2.88,1.62,2.12,2.62,2.88,3,2.12,2,2.75,1.62,2.12,1.5,3.12,3.62,2.12,3.25,2.38,2.88,3.5,2.38,2.5,1.5,3,2.38,3.5,"Importance"
"357","Food Scientists and Technologists",3.75,3.88,3.62,3.38,3.75,1.25,1.5,1,3.25,3.5,3,1.75,1.88,3.12,3.12,3.62,3.12,2.38,2.88,1.75,3.12,1.5,3.38,3.88,1.25,3.12,2.88,3.25,3.75,3.38,3.12,1.88,3.25,2.38,3.88,"Importance"
"358","Food Servers, Nonrestaurant",2.12,3,1.88,2.88,2.75,1,1.25,1,2,2.62,2,1.75,1.75,2.12,2,3.25,1.75,1.75,1.75,1.5,1.88,1,2.12,2.75,1,1,3.12,2.88,3,1.88,1.75,1.62,2.75,1.75,2,"Importance"
"359","Food Service Managers",3.5,3.62,3.12,3.88,3.88,2.12,2,1,3.5,3.38,3.12,2.88,2.88,3.75,2.75,3.75,3.25,2.25,2.75,3.38,3.38,1.38,2.62,3.5,2,2.12,4,3.75,3.88,2.88,2.75,1.5,3.75,2.25,3.25,"Importance"
"360","Foreign Language and Literature Teachers, Postsecondary",3.75,4,3.5,3.25,3.88,1,1,1,4.12,3.5,3.88,1.25,1.75,2.88,1.88,3.62,2.5,1,1.38,2.75,2.75,1.88,1.88,4.12,1,2,3,3.38,4.38,3,3,1.5,3.12,1,4,"Importance"
"361","Forensic Science Technicians",3.25,3.88,3.75,2.88,3.88,2.25,2.38,1,2.88,3.25,3,1.88,1.88,2.88,2.75,3.12,2.38,2.75,2.88,1.88,2.88,1.75,2.5,3.88,2.12,3.38,2.75,3.12,3.88,3,2.88,1.75,3.12,2.38,3.88,"Importance"
"362","Forest and Conservation Technicians",3,3.62,3,3.25,3.75,2,2.25,1.38,3.12,3.38,2.88,1.75,2.12,3,3,3.25,2.38,2.88,2.75,1.62,2.75,2.25,2.88,3.5,1.88,2.62,2.62,3.25,3.38,3.12,2.88,1.62,3.12,2,3,"Importance"
"363","Forest and Conservation Workers",3,3.12,3,3.25,3.12,2.12,2.12,1,2.75,3.12,2.88,1.75,2,2.62,2.5,3.12,2.5,2.88,2.88,1.75,2.75,1.62,2.12,2.88,2.12,2,2.75,2.88,3.25,2.75,2.38,1.75,3,2.12,2.88,"Importance"
"364","Forest Fire Fighting and Prevention Supervisors",3.75,3.88,3.75,3.75,4,2.88,2.25,1,3.38,4,3.25,1.75,2.25,3.62,2.62,4,2.75,3,3,2.75,3,1.38,3,3.5,2.12,2.38,2.88,3.38,4,3.25,3.12,1.88,3.62,2.38,3.12,"Importance"
"365","Forest Fire Inspectors and Prevention Specialists",3,3.62,3.62,3.62,4.12,1.75,1.75,1,2.75,3.62,2.5,1.5,2,3.25,2.12,3.38,3,2.38,2.62,1.75,3.12,1.5,2.38,3.38,1.38,2.25,2.75,3.38,3.75,2.88,2.88,1.5,3.5,2.12,3.12,"Importance"
"366","Forest Firefighters",3,4,3.38,3.75,3.5,3,2.88,1.12,3.5,3.5,3,1.5,2,3,2.5,3.75,2.88,3.5,3.62,1.12,2.88,1.25,3,3.5,2.75,1.25,3.62,3.25,4,2.75,2.75,1.62,3.5,2.88,3.25,"Importance"
"367","Foresters",3,3.62,3.75,3.75,3.88,1,1.88,1,3.12,3.88,2.88,2.5,2.75,3.38,3,4,3.25,3,3.12,2.88,3,1.38,2.75,4,1,2.88,3,3.38,4,3.62,3.62,2.12,3.75,1.5,3.5,"Importance"
"368","Forestry and Conservation Science Teachers, Postsecondary",3.75,4.12,3.62,3.38,3.88,1,1,1,4.12,3.25,4,1.75,2,3,2.62,3.5,2.62,1.62,1.75,2.38,3,1.75,1.5,4.12,1,3.38,3.12,3.38,4.25,3.12,3.12,1.5,3.12,1,4.12,"Importance"
"369","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2.38,3,2.88,2.5,3,2.5,2,1.38,2.12,2.88,2.25,1.25,1.38,2,2,2.88,2,3.12,3.38,1.5,2.12,1.25,3,2.88,2.38,1.38,1.88,2.75,3,1.75,1.75,1.62,2.62,2.88,2.75,"Importance"
"370","Foundry Mold and Coremakers",2.12,2.75,2.62,2.38,2.75,1.12,1.75,1.25,2,2.62,1.25,1.62,1.88,2.12,2.25,3.12,1.88,2,2.5,1.62,2,1,2.25,2.38,1.12,1.25,1.88,2.25,2.62,1,1.75,1,2.62,2.12,2.25,"Importance"
"371","Fraud Examiners, Investigators and Analysts",3.62,4,3.62,3.5,4,1,1,1,3.12,3.62,2.88,2,1.88,2.88,3,3.38,3.25,1.88,2.38,1.25,3,1.5,1.38,4,1,1.38,2.88,3.38,4,2.88,2.88,1.38,3.38,1,4.12,"Importance"
"372","Freight and Cargo Inspectors",2.62,3.38,3,3.12,3.38,1,1,1,2.62,3.12,2.38,1.75,1.75,2.88,2.62,3.38,2.5,2.38,3.12,1.75,2.62,1.38,3.25,3.62,1,2,2.75,3,3.62,2.5,2.12,1.5,3.25,2,3.38,"Importance"
"373","Freight Forwarders",3.12,3.25,3.12,3.5,3.25,1,1,1,2.75,3.12,2.62,2.5,2.38,2.62,3,3.5,3.12,1,2,1.62,3,1.5,1.25,3.5,1,1,3.38,3.12,3.38,3,3,1.5,3.38,1,3.38,"Importance"
"374","Fuel Cell Engineers",3.38,3.62,3.38,3.12,3.75,2.38,2.5,1.38,2.88,3.62,3.25,2,2.62,2.88,3.25,3.5,2.75,2.5,3.25,2.88,2.88,2.25,3.12,3.88,2.62,3.62,2.75,2.88,3.5,3.75,3.5,2.88,3.5,2.88,3.62,"Importance"
"375","Fundraisers",3.25,4,3.12,3.75,3.88,1,1.25,1,2.88,3.38,2.62,2.75,2.38,3.12,2.62,3.25,3.5,1.75,1.75,1.75,4,1.75,1.5,3.75,1,1.25,3.62,3.75,4.25,2.75,2.88,1.75,3.25,1,4.12,"Importance"
"376","Funeral Attendants",2,3.12,2.38,3,2.75,1.75,1.5,1,2.12,2.88,1.88,1.5,2,1.88,1.75,3.12,2,2.12,2.25,1.62,2,1.12,2,2.62,1.25,1.38,3.38,3.5,3.38,2,1.75,1.5,2.5,1.75,2.38,"Importance"
"377","Funeral Service Managers",2.75,3.75,3,3.5,3.12,1,1,1,3,3.12,2.88,2.5,2.38,3.38,2.38,3.62,3.38,1.88,2.12,1.38,3.38,1.5,2,3.62,1,1.25,4,3.75,3.75,2.5,2.5,1.62,3.62,1.75,3.38,"Importance"
"378","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2.38,3.12,2.38,2.5,3.12,2.12,1.5,1,2.12,2.38,2.12,1.25,1.38,2.12,2.25,3.12,2.12,3.12,3.88,1.5,2.12,1.25,3,3.12,1.75,1.88,2.12,2.25,3.12,2,2,1.38,2.38,2.12,2.62,"Importance"
"379","Furniture Finishers",2.62,3,2.88,3.12,3.12,2.38,2.38,1,2.62,3,2.62,1.88,2.25,2.75,2,3.38,2.25,3,3.12,2.25,2.5,1,3.25,2.5,2.38,1.25,2.88,2.75,3,2.12,2.12,1.25,3,2.5,2.25,"Importance"
"380","Gaming and Sports Book Writers and Runners",2.62,3.5,2.5,3,2.88,1,1,1,2.25,2.62,2.25,1.75,1.75,2.38,3,3.12,2.25,1.62,2,1.12,2.5,1.38,1.88,2.75,1,1.25,2.88,3,3.12,1.88,1.88,1,2.38,1.75,2.88,"Importance"
"381","Gaming Cage Workers",2.25,3.38,2.25,2.88,3,1,1,1,2.62,3,2.12,1.5,1.12,2,3.5,3,2.5,1.62,1.88,1.12,2.5,1.25,2,3,1,1,3.12,3.12,3.75,2,2,1,3,1,3,"Importance"
"382","Gaming Change Persons and Booth Cashiers",2.25,3.25,2.75,2.75,2.88,1.25,1.25,1,2.25,2.88,2.12,2.12,1.88,2,3.25,3,2.5,1.88,2,1,2.62,1.38,2,3,1.62,1,3.12,3.12,3.25,1.88,1.75,1.12,2.25,1.88,2.88,"Importance"
"383","Gaming Dealers",2.75,3.5,2.62,3,3,1,1,1,3,2.88,2.38,1.38,1.5,2.5,2.75,3.38,2.88,1.12,2.12,1,2.88,1,2.12,3,1,1.12,3.25,3.5,3.5,2.25,2,1.38,3,1.75,2.5,"Importance"
"384","Gaming Managers",3.62,3.75,3.5,4,4,1,1,1,3.62,3.75,3.25,2.88,2.62,4,3,3.88,3.38,1.12,1.88,2.12,3.62,1.62,2.75,3.5,1,1.62,3.75,3.88,4,3.12,3,1.38,3.75,1.62,3.62,"Importance"
"385","Gaming Supervisors",3,4,3,3.75,3.75,1,1,1,3,3.12,2.62,2.12,1.88,3.25,2.25,4.25,3.25,1.12,1.5,1.38,3.12,1.12,2,3.12,1,1.62,3.25,3.88,4,2.75,2.38,1,3.25,1.38,3,"Importance"
"386","Gaming Surveillance Officers and Gaming Investigators",3.25,3.25,3,3,3.5,1.38,1,1,3,3.5,2.38,1.38,1.38,2.75,2.12,4.38,2.88,2,2.25,1.75,2.62,1.12,2.12,3.12,1.38,1.25,2.62,3.25,3.62,2.12,2.12,1.12,3,1.5,3.12,"Importance"
"387","Gas Compressor and Gas Pumping Station Operators",2.5,3.5,2.88,2.75,3.62,3.38,2.38,1.12,2.5,2.88,2.38,1.5,1.88,2.38,2.12,3.25,2.38,3.75,3.88,1.25,2.25,1.5,3.38,3.25,3.25,1.75,2.12,2.62,2.88,2.62,2.38,1.62,2.75,3.12,3,"Importance"
"388","Gas Plant Operators",2.75,3.25,3.38,3,3.5,3,2.38,1.12,2.62,3.38,2.5,1.88,2,2.5,2.5,3.75,2.75,3.62,4.25,2,2.5,1.62,3.5,3.12,3,2.25,2.12,2.88,3.25,2.62,2.62,1.75,2.88,3.12,3.25,"Importance"
"389","Gem and Diamond Workers",2.5,3.12,2.75,2.62,3,2.12,2.62,1,2,2.88,2.25,2.12,2.25,2.12,2.75,3,2.25,2.25,2.75,2.5,2.5,1,3.38,2.88,1.88,1.38,2.75,2.75,3.12,2,1.88,2,2.5,2,2.62,"Importance"
"390","General and Operations Managers",3.5,4,3.5,4,3.88,1,1,1,3.12,3.5,3,3.12,3.25,3.5,2.38,4,3.62,2,2.75,2.75,3.38,1.5,2.38,3.88,1,1.88,3.25,4,4,3,3,1.88,3.75,2,3.25,"Importance"
"391","Genetic Counselors",3.88,4,4,3,3.88,1,1,1,3.12,3.25,3,1.25,1.12,2.88,2.75,3,3,1,1.88,1.25,3,1.38,1.12,4.12,1,3.25,3.12,3.88,3.88,3.12,3,1.5,3.12,1,3.88,"Importance"
"392","Geneticists",3.75,4,3.62,3.25,4,1,1.25,1,3.5,3.62,3.25,2.12,2.38,3.12,3.5,3.5,2.62,2.25,2.88,1.5,2.62,1.62,2.75,4.25,1,4,2.75,3.25,4,3.5,3.38,1.75,3.5,1.88,4,"Importance"
"393","Geodetic Surveyors",3.25,3.5,3.5,3.38,3.88,2.12,2.25,1,3,3.5,2.75,2,2.12,2.88,4.12,3.38,2.38,2.75,2.62,1.88,2.25,2.38,3,3.75,2.12,3,2.38,2.88,3.38,3.12,3.25,1.62,3.25,2.12,3.38,"Importance"
"394","Geographers",3.62,3.88,3.62,3.12,3.88,1,1.12,1,3.38,3.75,3.25,1.75,1.88,2.75,3.25,3.12,2.62,1.12,1.75,2.75,2.62,1.5,1.5,4,1,3.88,2.88,3.25,3.88,3.5,3.38,1.5,3.38,1,4.12,"Importance"
"395","Geographic Information Systems Technicians",3.25,3.12,3.38,3,3.75,1.5,1.62,1.38,2.75,3.25,2.88,1.75,1.75,2.62,3.12,3,2.38,1.62,2.12,2.38,2.62,2.75,1.88,3.62,1.38,2.62,2.75,2.75,3.38,3,2.62,2.5,3,1.5,3.12,"Importance"
"396","Geography Teachers, Postsecondary",3.62,3.75,3.62,3,4,1,1,1,4.12,3.25,4,1.88,2,3,2.88,3.38,2.5,1,1.38,2.5,2.88,1.75,1.38,4,1,3.25,2.88,3.12,4.12,2.75,2.88,1.5,3.12,1,4,"Importance"
"397","Geological Sample Test Technicians",3.12,3.12,3,2.88,3.75,2.75,2.62,1,2.38,3.12,2.88,1.88,1.88,2.38,2.88,3.5,2.25,2.88,3.12,2.12,2.75,2,3,3.62,2.75,3.25,2.5,2.75,3.12,3,2.88,1.75,3,2.88,3.25,"Importance"
"398","Geophysical Data Technicians",2.5,3.5,2.88,3,3.5,1.12,1.5,1.12,2.25,2.88,2.12,1.5,1.88,2.38,2.38,2.88,2,2.5,2.5,2,2.75,1.5,2,3.62,1.12,3,2.25,3,3.38,2.5,2.25,1.75,3.12,2,3.25,"Importance"
"399","Geoscientists, Except Hydrologists and Geographers",3.25,3.88,3.88,3,4.12,1,1.62,1,3,3.75,2.88,2,1.75,2.75,3.25,3.12,2.75,2,2.5,2.62,2.88,2.38,2.38,4.12,1,4.12,2.88,2.75,4,3.12,3,1.75,3.12,1.75,3.75,"Importance"
"400","Geospatial Information Scientists and Technologists",3.5,3.88,3.75,3.25,3.62,1,1.38,1,3.25,3.62,2.75,1.88,1.88,3,3.25,3,2.88,1.25,2.38,3.12,2.88,2.62,1.25,4.12,1,3.62,3,3,3.75,3.38,3.38,2,3.25,1,3.75,"Importance"
"401","Geothermal Production Managers",3.5,3.62,3.62,3.75,4,2.5,2.25,1,3.25,3.75,3.25,3.25,3.12,3.62,3.25,3.88,3,2.88,3.25,2,3,1.88,3.12,3.88,2.75,2.38,2.88,3.5,3.88,3.25,3.25,2,3.62,2.88,3.62,"Importance"
"402","Geothermal Technicians",2.88,2.88,3.12,3,3.25,3.25,2.62,2.5,2.5,3,2.38,1.75,2.12,2.5,2.75,3.5,2.38,3.38,3.88,1.5,2.38,1.62,3.12,3.38,3.12,2.12,2.5,2.62,3.12,3,2.75,1.75,2.88,3.5,3,"Importance"
"403","Glass Blowers, Molders, Benders, and Finishers",2.88,3,2.75,2.5,3,2.5,2.38,1,2.12,2.75,2.62,1.88,2.12,2.38,2.62,3.25,2.12,3.38,3.38,1.88,2.38,1.38,3.38,3,2.5,1.75,2,2.5,2.75,2.38,2.25,1.75,2.75,2.5,2.62,"Importance"
"404","Glaziers",2.25,2.75,2.62,3,3,1.5,2,2.12,2.12,2.88,2.12,1.75,1.75,2.12,2.25,2.75,1.75,3,2.75,1.88,2,1,2.25,3,1.5,1.5,2.38,2.75,2.88,2,2.12,1.75,2.88,1.88,2.12,"Importance"
"405","Government Property Inspectors and Investigators",3.5,4.25,3.88,3.88,4.12,1,1.12,1,3.62,4.12,3.38,2.25,2.25,3.25,2.75,3.62,3.5,2.88,3.38,2.25,3.38,2.12,3.25,4.12,1,1.62,3.5,3.62,4.25,3.38,3.25,1.62,3.5,1.88,4.25,"Importance"
"406","Graders and Sorters, Agricultural Products",1.75,2.88,2,2.38,2.38,1,1.12,1,1,2,1.12,1,1,1,1.12,2.62,1.75,1.38,1.12,1,2,1,1.25,2,1,1.25,2,2.38,2.75,1.88,1,1,2,1,1.75,"Importance"
"407","Graduate Teaching Assistants",2.62,3.5,2.88,3,3.25,1,1,1,3.5,2.75,2.62,1,1.12,2.12,2,3,2,1,1.75,2,2.12,1.5,1.62,3.62,1,1.75,2.75,3.38,3.5,2.12,2.12,1.62,2.88,1.62,3.38,"Importance"
"408","Graphic Designers",3.12,3.38,3,3.12,3.25,1,1.12,1,2.75,3.12,2.5,1.88,1.75,2.5,2.12,3,2.75,1,2,3.38,2.75,1.38,1.5,3.25,1,1.38,2.75,3,3.38,2.5,2.38,2.25,3,1,3.38,"Importance"
"409","Grinding and Polishing Workers, Hand",2.38,3,2.75,2.88,3,3.25,3.25,1.12,2.38,2.88,2.12,1.5,1.62,2.38,1.88,3.12,2.12,3.12,3.5,1.5,2.12,1,3.5,3,3.25,1.25,2.12,2.75,2.88,2.12,2.12,1.62,2.88,3.12,2.38,"Importance"
"410","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.75,3.12,3.12,2.62,3.25,2.88,2.75,1.75,2.5,3.12,2.25,1.62,1.88,2.12,2.75,3.5,2.12,4,4.12,2,2.12,1.75,3.75,3.25,2.62,1.62,2.38,2.75,3,2.5,2.5,1.75,2.75,3.12,2.38,"Importance"
"411","Hairdressers, Hairstylists, and Cosmetologists",3.38,3.88,3.25,3.12,3.5,1.5,1.88,1,2.75,3.38,2.75,1.25,1.5,2.25,2.62,3.12,2.5,1.5,2.12,2.62,2.88,1,2.12,2.75,1,1.88,3.62,3.38,3.5,2.38,2.38,1.38,3.12,1.75,2.75,"Importance"
"412","Hazardous Materials Removal Workers",3,3.25,3,3,3.5,2.62,2.62,1.62,2.88,3,2.5,1.88,2,2.62,2,3.62,2.75,3.38,3.25,1.75,2.88,1.25,3,3.12,2.25,2,2.88,3,3.12,2.75,2.12,1.5,3,2.88,3,"Importance"
"413","Health Educators",3.5,4,3.12,3.5,4,1,1,1,3.38,3.12,3.75,2,2.25,3.25,2,3.12,2.88,1.38,1.88,3.12,3.25,1.25,1.5,3.88,1,2.5,3.12,3.5,4.12,3.12,3,1.5,3.5,1,4,"Importance"
"414","Health Specialties Teachers, Postsecondary",4,4,3.88,3,4,1,1.25,1,4.12,3.75,4,1.75,2,2.88,2.62,3.88,2.62,1,1.75,2.25,2.75,1.12,1.62,4.12,1,3.25,3.25,3.25,4.38,2.88,2.88,1.25,3.5,1.25,4,"Importance"
"415","Healthcare Social Workers",3.38,4.25,3.62,3.88,4,1,1.12,1,3.12,3.5,3.12,1.62,1.75,3,2,3.12,3.12,1.75,1.75,3,3.12,1.62,1.75,3.88,1,2.75,3.75,4.12,4.12,2.5,3.12,1.62,3.12,1,3.75,"Importance"
"416","Hearing Aid Specialists",3.25,3.75,3.12,3.12,3.25,2.25,2.25,1,3.5,3.38,2.88,1.75,2.25,2.38,2.25,3.25,2.88,1.25,2.88,1.88,3.12,1.5,2.88,3.25,2.38,1.5,3.62,3.25,3.38,2.62,2.75,2.12,3,2.5,3,"Importance"
"417","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2.75,3.12,2.75,3,3.25,2.88,2.62,1.38,2.88,3,2.75,1.88,2.25,2.5,2.5,3.38,2.25,3.62,3.62,2.12,2.38,1.62,3,3,2.88,1.5,2.38,2.88,2.88,2.25,2.12,1,2.88,2.75,3,"Importance"
"418","Heating and Air Conditioning Mechanics and Installers",3.12,3.62,3,3,3.25,3.88,3.12,3.88,2.88,3,2.75,2,2.12,2.38,2.88,3,2.38,3.25,3.75,2.12,2.75,1.38,3.88,3.25,3.75,2,2.75,2.88,3.12,3,2.88,2.12,3.12,3.88,2.88,"Importance"
"419","Heavy and Tractor-Trailer Truck Drivers",2.75,2.88,2.88,2.88,3,2.88,2.25,1.62,2.5,2.88,2.5,2,2,2.12,2,3,2.25,3.88,3.75,1.88,2.12,1.12,2.62,3,2.88,1,2.75,2.75,3,2,2.12,1.62,3.12,3,2.75,"Importance"
"420","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2.38,2.88,2.62,3,3,2.38,2.38,1.25,2.5,2.88,2.25,1.62,1.88,1.88,2.25,3,1.88,3,2.75,1.88,1.88,1,2.5,2.38,2.25,1.25,2,2.75,2.75,2,2,1.88,3,2.75,2,"Importance"
"421","Helpers--Carpenters",2.88,3,3,3,3,2.38,2.88,2.25,2.38,2.88,2.12,1.88,2,2,2.38,3,2.12,2.25,2.88,1.62,2.25,1,2.38,2.88,2.62,1,2.25,3,3,2,2,1.88,2.88,2.25,2.25,"Importance"
"422","Helpers--Electricians",2.5,3.12,2.88,2.88,3,2.75,2.62,2.75,2.12,2.75,2.12,1.12,1.75,1.75,2,2.75,1.88,2.75,2.62,1.5,2,1,3.12,2.38,3,1.62,2,2.38,3,1.62,1.75,1.12,2.75,3,2,"Importance"
"423","Helpers--Extraction Workers",2.88,3.12,3.12,2.88,3.38,3.38,3,1,2.75,2.88,2.75,1.88,2.38,2.75,2.5,3.62,2.38,3.38,3.62,1,2.25,1,3.25,2.75,3.38,1.12,2.5,2.88,2.75,2.38,2.25,1.88,2.75,3.38,2.38,"Importance"
"424","Helpers--Installation, Maintenance, and Repair Workers",2.88,3.25,2.75,3,3.12,3.12,2.88,2.5,2.5,3,2.75,1.25,1.5,2,1.88,3,2.12,3,3.38,1.62,2.38,1.38,2.88,2.62,3.12,1.25,2.75,2.62,3,2.25,2,1.62,2.88,3.12,2.12,"Importance"
"425","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.38,2.88,2.38,3,2.75,2.5,2.25,1.12,2.25,2.5,2.25,1,1.12,2.12,1.12,2.75,2.25,2.12,2.62,1,2.25,1,2.62,2.12,2.5,1.12,2.5,2.62,3,2,1.88,1,2.75,2.5,2,"Importance"
"426","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2.62,2.88,2.62,2.75,2.88,2.12,2.38,2,2,2.88,2,1.62,2.12,1.88,2.25,2.88,2,2.38,2.25,1.25,2,1,2.12,2.38,2.62,1.12,2.38,2.5,2.5,1.88,1.75,1.62,2.5,2.38,2,"Importance"
"427","Helpers--Production Workers",2,2.88,2.25,2.62,2.75,2.12,2,1,2,2.25,2,1.62,1.75,1.88,2,2.88,1.88,2.62,2.75,1.62,1.88,1.25,2.62,2.62,2.12,1.25,2.12,2.62,2.75,2,1.88,1.25,2.25,2.12,1.88,"Importance"
"428","Helpers--Roofers",2.62,3,2.62,3.25,2.88,2.75,2.62,1.75,2.38,2.75,2.25,1.62,2,2.25,2.25,3,2.12,2,2.38,1,2,1.38,2.88,2.38,2.25,1,2.62,2.62,2.88,2.25,2.12,1.62,2.62,2.38,2.25,"Importance"
